date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:10:19	1489/1489	---MCZ	404	error ('Not%20Found')	text/html	etag:1697537301-ssl-df	https://votelkg.netlify.app/robots.txt		(from )
11:10:20	1738/1738	---M-Z	200	added ('OK')	text/html	etag:%220b802465ae835c3222e98f31fae629ad-ssl-df%22	https://votelkg.netlify.app/	C:/Users/osato/OneDrive/Documents/trr/votelkg.netlify.app/index.html	(from )
11:10:22	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/osato/OneDrive/Documents/trr/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://votelkg.netlify.app/)
11:10:28	6631/6631	---MCZ	200	added ('OK')	text/html	etag:%2249692490631042829cc2bdc6ed3c7b20-ssl-df%22	https://votelkg.netlify.app/realfb	C:/Users/osato/OneDrive/Documents/trr/votelkg.netlify.app/realfb.html	(from https://votelkg.netlify.app/)
11:10:32	949406/949406	---M--	200	added ('OK')	image/jpeg	etag:%22078371ecd594a244d279194702d09442-ssl%22	https://votelkg.netlify.app/images/bunny.jpeg	C:/Users/osato/OneDrive/Documents/trr/votelkg.netlify.app/images/bunny.jpg	(from https://votelkg.netlify.app/)
11:10:33	6569/6569	---MCZ	200	added ('OK')	text/html	etag:%22a4ffad5270d48919254d31d54a1becd8-ssl-df%22	https://votelkg.netlify.app/realig	C:/Users/osato/OneDrive/Documents/trr/votelkg.netlify.app/realig.html	(from https://votelkg.netlify.app/)
11:10:37	4357/4357	---M--	200	added ('OK')	image/png	etag:%226873fea12ccd04e7070c83268292d5a7-ssl%22	https://votelkg.netlify.app/images/facebook-icon.png	C:/Users/osato/OneDrive/Documents/trr/votelkg.netlify.app/images/facebook-icon.png	(from https://votelkg.netlify.app/realfb)
11:10:40	34826/34826	---M-Z	200	added ('OK')	application/javascript	etag:W/%22880a-Q2veM4hfl8L+BsC7MiDjJqCDThY%22	https://cdn.jsdelivr.net/npm/@emailjs/browser@3/dist/email.min.js	C:/Users/osato/OneDrive/Documents/trr/cdn.jsdelivr.net/npm/@emailjs/browser@3/dist/email.min.js	(from https://votelkg.netlify.app/realfb)
11:10:42	34715/34715	---M--	200	added ('OK')	image/png	etag:%225734d306a2020b83d617bdb87c093e9e-ssl%22	https://votelkg.netlify.app/images/favicon.png	C:/Users/osato/OneDrive/Documents/trr/votelkg.netlify.app/images/favicon.png	(from https://votelkg.netlify.app/realig)
11:10:43	5318/5318	---MCZ	200	added ('OK')	text/css	etag:%22bc8c17a13085eb9f5fd54788aca8d5a1-ssl-df%22	https://votelkg.netlify.app/app.css	C:/Users/osato/OneDrive/Documents/trr/votelkg.netlify.app/app.css	(from https://votelkg.netlify.app/realig)
11:10:50	24052/24052	---M--	200	added ('OK')	image/jpeg	etag:%227862ca347c4c3abe373d75c7c3bf245e-ssl%22	https://votelkg.netlify.app/images/slide%20(1).jpg	C:/Users/osato/OneDrive/Documents/trr/votelkg.netlify.app/images/slide%20(1).jpg	(from https://votelkg.netlify.app/realig)
11:10:50	109828/109828	---M--	200	added ('OK')	image/png	etag:%22c0776a9934b6d282854c94f6685e4920-ssl%22	https://votelkg.netlify.app/images/phone-frame.png	C:/Users/osato/OneDrive/Documents/trr/votelkg.netlify.app/images/phone-frame.png	(from https://votelkg.netlify.app/realig)
11:10:51	35056/35056	---M--	200	added ('OK')	image/jpeg	etag:%2210590ebdd8ed0cd4954945eeb1ae91b2-ssl%22	https://votelkg.netlify.app/images/slide%20(2).jpg	C:/Users/osato/OneDrive/Documents/trr/votelkg.netlify.app/images/slide%20(2).jpg	(from https://votelkg.netlify.app/realig)
